      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 14   00:47:02   6091      0   02:51:57   6223      0
 13   00:40:49   3199      0   01:13:30   3389      0
 12   00:49:30   3535      0          -      -      -
  9       >24h  62574      0       >24h  61808      0
  8   00:13:04   3548      0   00:38:36   2604      0
  7   01:08:10   7665      0   01:49:31   7687      0
  6   00:13:25   4295      0   00:16:58   3519      0
  5   01:05:42   8488      0   12:40:01  24460      0
  4   00:08:51   2539      0   00:16:36   1500      0
  3   00:54:30   6256      0   01:31:32   6908      0
  2   00:18:32   3983      0   00:22:36   3466      0
  1   00:06:37   3133      0   00:45:35   5247      0
